team,year,medal,sport,name
United States,1948,Gold,Rowing,John Charles Stack
Sweden,1948,Silver,Equestrianism,Nils Olof Stahre
United States,1948,Gold,Weightlifting,"Stanley Anthony ""Stan"" Stanczyk"
United States,1948,Bronze,Athletics,George Anthony Stanich
United States,1948,Gold,Athletics,Willie Samuel Steele
Italy,1948,Silver,Rowing,Giovanni Steff
Italy,1948,Silver,Art Competitions,Giovanni Stradone
Sweden,1948,Silver,Athletics,Lennart Strand
Australia,1948,Bronze,Athletics,Shirley Barbara Strickland de la Hunty
Australia,1948,Bronze,Athletics,Shirley Barbara Strickland de la Hunty
Australia,1948,Silver,Athletics,Shirley Barbara Strickland de la Hunty
Italy,1948,Gold,Art Competitions,Giani Stparich
Sweden,1948,Silver,Equestrianism,Karl Johan Sigurd Svensson
Hungary,1948,Silver,Swimming,Elemr Szathmry
Hungary,1948,Bronze,Rowing,Antal Szendey
Hungary,1948,Silver,Wrestling,Mikls Szilvsy
Hungary,1948,Silver,Water Polo,Kroly Szittya (Schfer)
Hungary,1948,Silver,Water Polo,"Istvn Szivs, Sr."
Hungary,1948,Gold,Shooting,Kroly Takcs
Sweden,1948,Gold,Cross Country Skiing,Nils Bertil Tpp (Persson-)
Italy,1948,Silver,Rowing,Aldo Tarlao
Hungary,1948,Silver,Gymnastics,Olga Tass-Lemhnyi (Todenbier-)
Canada,1948,Gold,Ice Hockey,Irving Carrie Taylor
Italy,1948,Gold,Cycling,Ferdinando Terruzzi
France,1948,Silver,Basketball,Pierre Michel Louis Thiolon
Sweden,1948,Bronze,Fencing,Sven Alfred Thofelt
Great Britain,1948,Silver,Cycling,"Gordon W. ""Tiny"" Thomas"
United States,1948,Gold,Athletics,Wilbur Marvin Thompson
Great Britain,1948,Gold,Art Competitions,Alfred Reginald Thomson
United States,1948,Silver,Equestrianism,Earl Foster Thomson
United States,1948,Gold,Equestrianism,Earl Foster Thomson
Italy,1948,Bronze,Athletics,Michele Tito
Sweden,1948,Bronze,Fencing,Henning Arne Emil Tollbom
United States,1948,Bronze,Weightlifting,"Richard Wah Sung ""Rich"" Tom"
United States,1948,Silver,Shooting,Walter Tomsen
Italy,1948,Silver,Athletics,Giuseppe Tosi
Hungary,1948,Bronze,Wrestling,Ferenc Tth
Hungary,1948,Bronze,Gymnastics,Lajos Tth
Italy,1948,Silver,Fencing,Carlo Turcato
United States,1948,Gold,Rowing,"David Lindsay ""Dave"" Turner"
United States,1948,Gold,Rowing,Ian Gordon Turner
Sweden,1948,Bronze,Shooting,Torsten Elis Ullman
France,1948,Bronze,Swimming,"Georges-Urbain Vallerey, Jr."
Hungary,1948,Bronze,Gymnastics,Ferenc Vrki
Hungary,1948,Bronze,Athletics,Jzsef Vrszegi (Vennesz-)
United States,1948,Gold,Swimming,"Joseph Thomas ""Joe"" Verdeur"
Great Britain,1948,Silver,Hockey,"Michael Moore ""Mickey"" Walford"
Great Britain,1948,Bronze,Cycling,"Wilfrid ""Wilf"" Waters"
Hungary,1948,Silver,Gymnastics,Edit Weckinger-Pernyi (Vsrhelyi-)
Canada,1948,Silver,Art Competitions,John Jacob Weinzweig
United States,1948,Gold,Rowing,Warren DeHaven Westlund
Sweden,1948,Gold,Canoeing,Hans Rolf Wetterstrm
Great Britain,1948,Silver,Hockey,William Neil White
United States,1948,Bronze,Athletics,"Malvin Groston ""Mal"" Whitfield"
United States,1948,Gold,Athletics,"Malvin Groston ""Mal"" Whitfield"
United States,1948,Gold,Athletics,"Malvin Groston ""Mal"" Whitfield"
United States,1948,Gold,Rowing,"Robert Ide ""Bob"" Will"
Great Britain,1948,Silver,Athletics,Audrey Doreen Swayne Williamson (-Mitchell)
Great Britain,1948,Gold,Rowing,"John Hyrne Tucker ""Jack"" Wilson"
Australia,1948,Gold,Athletics,"John Arthur ""Jack"" Winter"
United States,1948,Gold,Wrestling,Henry Wittenberg
United States,1948,Gold,Swimming,"Wallace Perry ""Wally"" Wolf, Jr."
Sweden,1948,Bronze,Athletics,Lars-Erik Ragnar Wolfbrandt
Australia,1948,Gold,Rowing,"Mervyn Thomas ""Merv"" Wood"
United States,1948,Bronze,Fencing,George Worth
Great Britain,1948,Silver,Boxing,"John Alan ""Johnny"" Wright"
United States,1948,Gold,Athletics,Lorenzo Christopher Wright
France,1948,Bronze,Art Competitions,Hubert Yencesse
United States,1948,Silver,Swimming,Suzanne Winona Zimmerman (-Edwards)
Hungary,1948,Bronze,Rowing,Rbert Zimonyi
Hungary,1948,Bronze,Rowing,"Bla Zsitnik, Sr."
Italy,1948,Silver,Boxing,"Giovanni Battista ""Gianni"" Zuddas"
Canada,1952,Gold,Ice Hockey,George Gordon Abel
United States,1952,Gold,Boxing,"Charles ""Chuck"" Adkins"
Sweden,1952,Bronze,Football,"Sten Olov ""Olle"" hlund"
Sweden,1952,Silver,Canoeing,Ernst Gunnar kerlund
United States,1952,Silver,Figure Skating,"Tenley Emma Albright (-Gardiner, -Blakely)"
United States,1952,Bronze,Swimming,"Joan ""Jody"" Alderson (-Braskamp)"
Sweden,1952,Bronze,Ice Hockey,Gte Augustin Almqvist
Great Britain,1952,Gold,Figure Skating,Jeannette Eleanor Altwegg (-Wirz)
Sweden,1952,Gold,Wrestling,Olle Henrik Martin Anderberg
Australia,1952,Bronze,Rowing,"David Rollo ""Dave"" Anderson"
United States,1952,Silver,Diving,Miller Altman Anderson
Sweden,1952,Bronze,Ice Hockey,ke Gustav Andersson
Sweden,1952,Silver,Wrestling,Erik Gsta Andersson
Sweden,1952,Bronze,Cross Country Skiing,Karl Sigurd Andersson
Sweden,1952,Bronze,Ice Hockey,Hans Lennart Andersson-Tvilling
Sweden,1952,Bronze,Ice Hockey,Stig Gunnar Andersson-Tvilling
France,1952,Bronze,Cycling,Jacques Anquetil
Hungary,1952,Gold,Water Polo,Rbert Antal (Adler)
Sweden,1952,Silver,Wrestling,Hans Bertil Augustin Antonsson
Italy,1952,Bronze,Water Polo,"Ermenegildo ""Gildo"" Arena"
Great Britain,1952,Bronze,Athletics,"Heather Joy Armitage (-Young, -McClelland)"
United States,1952,Gold,Athletics,"Horace Ashenfelter, III"
Sweden,1952,Bronze,Speed Skating,Carl-Erik Asplund
Canada,1952,Bronze,Speed Skating,Gordon Vernon Audley
Great Britain,1952,Bronze,Athletics,Emmanuel McDonald Bailey
United States,1952,Silver,Athletics,Walter Thane Baker
Hungary,1952,Bronze,Shooting,Ambrus Balogh
Australia,1952,Bronze,Weightlifting,"Verdi ""Vern"" Barberis"
United States,1952,Bronze,Athletics,"Arthur ""Art"" Barnard"
Germany,1952,Silver,Boxing,Waldemar Edgar Basel
Italy,1952,Gold,Fencing,Roberto Battaglia
Hungary,1952,Silver,Modern Pentathlon,Gbor Benedek
Hungary,1952,Gold,Modern Pentathlon,Gbor Benedek
Sweden,1952,Bronze,Football,Sylve Boris Bengtsson
United States,1952,Gold,Shooting,"Huelet Leo ""Joe"" Benner"
Hungary,1952,Bronze,Fencing,Tibor Berczelly (Berczeller-)
Hungary,1952,Bronze,Fencing,Tibor Berczelly (Berczeller-)
Hungary,1952,Gold,Fencing,Tibor Berczelly (Berczeller-)
Italy,1952,Silver,Fencing,Giancarlo Bergamini
Sweden,1952,Gold,Gymnastics,Evy Margareta Berggren (-Westerberg)
Sweden,1952,Silver,Wrestling,Per Gunnar Brje Berlin
France,1952,Bronze,Swimming,"Joseph ""Jo"" Bernardo Garcia Rodriguez Marinelli"
Italy,1952,Gold,Fencing,Franco Bertinetti
France,1952,Bronze,Cycling,Roland Alexandre Gaston Bezamat
United States,1952,Gold,Athletics,Jerome Cousins Biffle
United States,1952,Silver,Ice Hockey,"Reuben Eugene ""Rube"" Bjorkman"
Sweden,1952,Bronze,Ice Hockey,Lars Gunnar Raldo Bjrn
Sweden,1952,Gold,Gymnastics,Vanja Hedvig Desideria Blomberg (-Webjrn)
Sweden,1952,Bronze,Ice Hockey,Gte Paulus Blomqvist
France,1952,Silver,Rowing,Pierre Auguste Blondiaux
Hungary,1952,Silver,Gymnastics,Andrea Bod-Molnr
Hungary,1952,Bronze,Gymnastics,Andrea Bod-Molnr
France,1952,Gold,Swimming,Jean Auguste Boiteux
France,1952,Bronze,Swimming,Jean Auguste Boiteux
Italy,1952,Gold,Boxing,Aureliano Bolognesi
Sweden,1952,Gold,Equestrianism,"Gustaf Adolf Boltenstern, Jr."
Hungary,1952,Gold,Water Polo,Antal Bolvri
United States,1952,Gold,Basketball,"Ronald Yngve ""Ron"" Bontemps"
France,1952,Silver,Rowing,Marc mile Bouissou
France,1952,Silver,Swimming,Gilbert Fernand Charles Bozon
Hungary,1952,Gold,Football,Jzsef Bozsik
United States,1952,Silver,Weightlifting,"James Edward ""Jim"" Bradford"
Sweden,1952,Bronze,Football,Rolf Yngve Brodd
United States,1952,Gold,Boxing,"Nathan Eugene ""Nate"" Brooks"
United States,1952,Gold,Diving,"David Greig ""Skippy"" Browning, Jr."
Italy,1952,Silver,Cycling,Dino Bruni
Germany,1952,Silver,Alpine Skiing,"Annemarie ""Mirl"" Buchner (Fischer-)"
Germany,1952,Bronze,Alpine Skiing,"Annemarie ""Mirl"" Buchner (Fischer-)"
Germany,1952,Bronze,Alpine Skiing,"Annemarie ""Mirl"" Buchner (Fischer-)"
Hungary,1952,Gold,Football,Lszl II Budai (Bednarik)
Great Britain,1952,Bronze,Cycling,"Donald Christopher ""Don"" Burgess"
Germany,1952,Bronze,Equestrianism,"Wilhelm ""Willi"" Bsing"
Germany,1952,Silver,Equestrianism,"Wilhelm ""Willi"" Bsing"
United States,1952,Gold,Figure Skating,"Richard Totten ""Dick"" Button"
Hungary,1952,Gold,Football,Jen Buznszky
Italy,1952,Gold,Fencing,Irene Camber-Corno
Italy,1952,Gold,Cycling,Loris Campana
United States,1952,Silver,Athletics,"Milton Gray ""Milt"" Campbell"
Italy,1952,Silver,Boxing,Sergio Caprari
Sweden,1952,Silver,Fencing,Per Hjalmar Ludvig Carleson
Great Britain,1952,Bronze,Hockey,Denys John Carnill
Great Britain,1952,Bronze,Athletics,Shirley Cawley (-Berry)
Australia,1952,Bronze,Rowing,"Philip Arthur ""Phil"" Cayzer"
Italy,1952,Bronze,Water Polo,Lucio Ceccarini
United States,1952,Silver,Ice Hockey,"Leonard Stanley ""Lenny"" Ceglarski"
Australia,1952,Bronze,Rowing,Ernest William Chapman
Great Britain,1952,Bronze,Athletics,Sylvia Cheeseman (-Disley)
Italy,1952,Bronze,Alpine Skiing,Giuliana Chenal-Minuzzo
Australia,1952,Bronze,Rowing,"Thomas Edmund Malcolm ""Tom"" Chessell"
United States,1952,Bronze,Diving,"Robert Lynn ""Bob"" Clotworthy"
Great Britain,1952,Bronze,Hockey,John Ashley Cockett
United States,1952,Silver,Athletics,"Gerrard Eugene ""Gene"" Cole"
Italy,1952,Gold,Alpine Skiing,Zeno Col
Great Britain,1952,Bronze,Hockey,John Valentine Conroy
Italy,1952,Silver,Athletics,Adolfo Consolini
Australia,1952,Silver,Cycling,Lionel Malvyne Cox
Australia,1952,Gold,Cycling,Lionel Malvyne Cox
Hungary,1952,Bronze,Athletics,Gyrgy Csnyi
Hungary,1952,Gold,Athletics,Jzsef Csermk
Hungary,1952,Gold,Football,Lajos Csords
Great Britain,1952,Silver,Sailing,Charles Norman Currey
United States,1952,Silver,Ice Hockey,"Joseph John ""Joe"" Czarnota"
Hungary,1952,Gold,Football,Zoltn Czibor
Great Britain,1952,Bronze,Hockey,Graham Bassett Dadds
Hungary,1952,Gold,Football,Jen Dalnoki
Italy,1952,Silver,Fencing,Gastone Dar
Canada,1952,Gold,Ice Hockey,"John Francis ""Jack"" Davies"
Australia,1952,Gold,Swimming,John Griffith Davies
United States,1952,Gold,Athletics,"Walter Francis ""Buddy"" Davis"
United States,1952,Silver,Athletics,Jack Wells Davis
United States,1952,Gold,Weightlifting,"John Henry Davis, Jr."
Canada,1952,Gold,Ice Hockey,"William ""Billy"" Dawe"
Great Britain,1952,Bronze,Hockey,Derek Malcolm Day
France,1952,Gold,Fencing,Henri Jhan ric Joseph Marie de Buhan
Italy,1952,Gold,Cycling,Mino De Rossi
Italy,1952,Bronze,Water Polo,Renato De Sanzuane
Italy,1952,Gold,Fencing,Giuseppe Delfino
Great Britain,1952,Bronze,Athletics,Jean Catherine Desforges (-Pickering)
United States,1952,Silver,Ice Hockey,"Richard Joseph ""Dick"" Desmond"
United States,1952,Gold,Rowing,"Robert Milan ""Bob"" Detweiler"
Italy,1952,Bronze,Fencing,Manlio Di Rosa
Italy,1952,Silver,Fencing,Manlio Di Rosa
Canada,1952,Gold,Ice Hockey,Robert Bruce Dickson
United States,1952,Gold,Athletics,William Harrison Dillard
United States,1952,Gold,Athletics,William Harrison Dillard
United States,1952,Bronze,Athletics,"James Leo ""Jim"" Dillion"
Great Britain,1952,Bronze,Athletics,John Ivor Disley
France,1952,Gold,Fencing,Christian Marie Auguste d'Oriola
France,1952,Gold,Fencing,Christian Marie Auguste d'Oriola
United States,1952,Gold,Swimming,Frank Martin Dooley
Italy,1952,Gold,Athletics,"Giuseppe ""Pino"" Dordoni"
Germany,1952,Bronze,Canoeing,Egon Drews
Germany,1952,Bronze,Canoeing,Egon Drews
France,1952,Bronze,Figure Skating,Jacqueline du Bief
United States,1952,Gold,Rowing,"James Ralph ""Jim"" Dunbar"
Great Britain,1952,Bronze,Hockey,Dennis Michael Royal Eagan
Sweden,1952,Silver,Modern Pentathlon,Claes Robert Herman Vidarsson Egnell
Hungary,1952,Silver,Fencing,Ilona Elek-Schacherer (-Hepp)
France,1952,Bronze,Swimming,Aldo Eminente
United States,1952,Silver,Wrestling,"Jay Thomas ""Tommy"" Evans"
Hungary,1952,Gold,Water Polo,Dezs Fbin
Italy,1952,Silver,Wrestling,Ignazio Fabra
United States,1952,Gold,Athletics,Aeriwentha Mae Faggs (-Starr)
Sweden,1952,Silver,Fencing,Sven Torsten Fahlman
Italy,1952,Silver,Fencing,Roberto Ferrari
United States,1952,Gold,Rowing,"William Beauford ""Bill"" Fields"
Australia,1952,Bronze,Rowing,"Mervyn David ""Merv"" Finlay"
Great Britain,1952,Bronze,Hockey,Robin Anthony Fletcher
Sweden,1952,Bronze,Ice Hockey,Thord Rubert Flodqvist
Hungary,1952,Bronze,Athletics,dn Fldessy
Sweden,1952,Silver,Fencing,Carl Otto Forssell
Great Britain,1952,Bronze,Athletics,"June Florence Foulds-Paul (-Carroll, -Reynolds)"
Sweden,1952,Gold,Canoeing,Gert Fridolf Fredriksson
Sweden,1952,Silver,Canoeing,Gert Fridolf Fredriksson
United States,1952,Gold,Basketball,"Marcus Ross ""Marc"" Freiberger"
Sweden,1952,Silver,Wrestling,Karl Gustav Herbert Freij
Sweden,1952,Gold,Equestrianism,Karl Folke Frln
United States,1952,Gold,Rowing,Wayne Thomas Frye
United States,1952,Bronze,Athletics,"James Emanuel ""Jim"" Fuchs"
Italy,1952,Bronze,Water Polo,Raffaello Gambino
United States,1952,Silver,Ice Hockey,Andre Peter Gambucci
France,1952,Bronze,Canoeing,Louis Charles Gantois
United States,1952,Bronze,Athletics,"James F. ""Jimmy"" Gathers"
Canada,1952,Gold,Ice Hockey,"Donald Valentine ""Don"" Gauf"
France,1952,Silver,Rowing,Roger Gautier
Germany,1952,Bronze,Athletics,Hans-Gnter Geister
Canada,1952,Gold,Shooting,George Patrick Genereux
United States,1952,Gold,Weightlifting,"Peter T. ""Pete"" George"
Hungary,1952,Silver,Swimming,va Grard-Novk
Hungary,1952,Gold,Swimming,va Grard-Novk
Hungary,1952,Silver,Swimming,va Grard-Novk
Hungary,1952,Bronze,Fencing,Aladr Gerevich (-Gerei)
Hungary,1952,Silver,Fencing,Aladr Gerevich (-Gerei)
Hungary,1952,Gold,Fencing,Aladr Gerevich (-Gerei)
Italy,1952,Silver,Cycling,Gianni Ghidini
Canada,1952,Gold,Ice Hockey,"William James ""Billy"" Gibson"
Italy,1952,Bronze,Water Polo,Salvatore Gionta
United States,1952,Gold,Basketball,Victor Wayne Glasgow
Sweden,1952,Silver,Canoeing,Lars Bertil Glassr
Hungary,1952,Bronze,Athletics,Bla Goldovnyi
Great Britain,1952,Bronze,Swimming,"Helen Orr ""Elenor"" Gordon-McKay"
Japan,1952,Silver,Swimming,Toru Goto
United States,1952,Silver,Athletics,Meredith Charles Gourdine (Gouardino-)
Canada,1952,Silver,Weightlifting,"Joseph Aim Grald ""Gerry"" Gratton"
Australia,1952,Bronze,Rowing,"Nimrod ""Nim"" Greenwood"
United States,1952,Bronze,Figure Skating,"James David ""Jim"" Grogan"
Sweden,1952,Gold,Wrestling,Rolf Axel Einar Grnberg
Hungary,1952,Gold,Football,Gyula Grosics
France,1952,Silver,Rowing,"Jacques Flix Jean ""Jean-Jacques"" Guissart"
Hungary,1952,Silver,Gymnastics,Erzsbet Gulys-Kteles
Hungary,1952,Bronze,Gymnastics,Erzsbet Gulys-Kteles
Hungary,1952,Bronze,Wrestling,Gyrgy Gurics
Hungary,1952,Bronze,Canoeing,Jzsef Gurovits
Sweden,1952,Bronze,Football,Bengt Olov Emanuel Gustavsson
Hungary,1952,Gold,Water Polo,Dezs Gyarmati
Hungary,1952,Gold,Swimming,Valria Gyenge (-Garai)
Germany,1952,Bronze,Athletics,Karl-Friedrich Haas
Germany,1952,Bronze,Diving,Gnther Haase
Sweden,1952,Gold,Modern Pentathlon,Lars Gran Ivar Hall
Sweden,1952,Silver,Modern Pentathlon,Lars Gran Ivar Hall
Japan,1952,Silver,Swimming,Yoshihiro Hamaguchi
Canada,1952,Gold,Ice Hockey,Ralph Lawrence Hansch
Sweden,1952,Bronze,Football,Holger Valdemar Hansson
United States,1952,Gold,Athletics,"Catherine ""Cathy"" Hardy (-Lavender)"
United States,1952,Silver,Ice Hockey,"Clifford ""Cliff"" Harrison"
Japan,1952,Silver,Swimming,Shiro Hashizume
Hungary,1952,Gold,Water Polo,Istvn Hasznos
United States,1952,Gold,Canoeing,Frank Benjamin Havens
Canada,1952,Silver,Canoeing,"Donald Trevor ""Don"" Hawgood"
Sweden,1952,Silver,Canoeing,Ingemar Harald Robert Hedberg
Germany,1952,Bronze,Boxing,Gnther Heidemann
Germany,1952,Silver,Rowing,Helmut Heinhold
United States,1952,Gold,Speed Skating,"Kenneth Charles ""Ken"" Henry"
United States,1952,Bronze,Wrestling,"Josiah ""Joe"" Henson"
Hungary,1952,Gold,Football,Nndor Hidegkuti
United States,1952,Gold,Basketball,"Charles Monroe ""Charlie"" Hoag"
Hungary,1952,Gold,Wrestling,Imre Hdos
Sweden,1952,Silver,Shooting,Knut Anders Holmqvist
Sweden,1952,Bronze,Ski Jumping,Karl Johan Holmstrm
United States,1952,Silver,Athletics,Clarence Darrow Hooper
United States,1952,Bronze,Equestrianism,"Charles Gordon ""Champ"" Hough, Jr."
United States,1952,Gold,Basketball,"William Marion ""Bill"" Hougland"
United States,1952,Gold,Athletics,"Simeon Garland ""Sim"" Iness"
Japan,1952,Gold,Wrestling,Shohachi Ishii
United States,1952,Bronze,Shooting,"Arthur Charles ""Art"" Jackson"
Australia,1952,Gold,Athletics,Marjorie Jackson (-Nelson)
Australia,1952,Gold,Athletics,Marjorie Jackson (-Nelson)
Sweden,1952,Bronze,Athletics,Gustaf Nils Jansson
France,1952,Bronze,Swimming,"Alexandre ""Alex"" Jany"
Hungary,1952,Gold,Water Polo,Lszl Jeney
Sweden,1952,Bronze,Ice Hockey,Erik Gunnar Johansson
Sweden,1952,Bronze,Ice Hockey,Gsta Rudolf Torsten Johansson
Sweden,1952,Silver,Boxing,Jens Ingemar Johansson
Sweden,1952,Bronze,Ice Hockey,Rune Arnold Georg Johansson
Sweden,1952,Bronze,Ice Hockey,Sven Olof Gunnar Johansson (-Tumba)
United States,1952,Gold,Athletics,Barbara Pearl Jones (-Slater)
United States,1952,Gold,Swimming,"Burwell Otis ""Bumpy"" Jones"
France,1952,Gold,Equestrianism,Pierre Jonqures d'Oriola
Sweden,1952,Bronze,Cross Country Skiing,Gustaf Enar Josefsson
France,1952,Bronze,Equestrianism,Andr Ren Jousseaum
Hungary,1952,Silver,Gymnastics,"Irn Karcsics-Daruhzi (-Krpti, -Kubisch)"
Hungary,1952,Bronze,Gymnastics,"Irn Karcsics-Daruhzi (-Krpti, -Kubisch)"
Hungary,1952,Gold,Water Polo,Gyrgy Krpti
Hungary,1952,Gold,Fencing,Rudolf Krpti
United States,1952,Bronze,Swimming,Evelyn Tokue Kawamoto (-Konno)
United States,1952,Bronze,Swimming,Evelyn Tokue Kawamoto (-Konno)
Hungary,1952,Silver,Gymnastics,gnes Keleti-Srkny (Klein)
Hungary,1952,Bronze,Gymnastics,gnes Keleti-Srkny (Klein)
Hungary,1952,Gold,Gymnastics,gnes Keleti-Srkny (Klein)
Hungary,1952,Bronze,Gymnastics,gnes Keleti-Srkny (Klein)
United States,1952,Gold,Basketball,John Frederick Keller
United States,1952,Gold,Basketball,Melvin Dean Kelley
Germany,1952,Gold,Bobsleigh,Franz Kemser
United States,1952,Gold,Basketball,"Robert Earl ""Bob"" Kenney"
United States,1952,Silver,Ice Hockey,"Gerald Walsh ""Gerry"" Kilmartin"
Japan,1952,Silver,Wrestling,Yushu Kitano
Germany,1952,Silver,Athletics,Helga Klein (-Erny)
Germany,1952,Bronze,Swimming,Herbert Klein
Germany,1952,Silver,Athletics,Ursula Knab (-Schlicksupp)
Hungary,1952,Gold,Football,Sndor Kocsis
United States,1952,Silver,Swimming,Ford Hiroshi Konno
United States,1952,Gold,Swimming,Ford Hiroshi Konno
United States,1952,Gold,Swimming,Ford Hiroshi Konno
United States,1952,Gold,Weightlifting,"Tamio ""Tommy"" Kono"
Hungary,1952,Bronze,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Silver,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Bronze,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Bronze,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Gold,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Bronze,Gymnastics,"Margit Korondi (Kronstein-, -Plachy, -Szalay)"
Hungary,1952,Gold,Football,Imre Kovcs
Hungary,1952,Gold,Fencing,Pl dm Kovcs
Hungary,1952,Gold,Fencing,Pl dm Kovcs
Hungary,1952,Gold,Modern Pentathlon,Aladr Kovcsi
Hungary,1952,Silver,Gymnastics,Mria Kvi-Zalai (-Kocsis)
Hungary,1952,Bronze,Gymnastics,Mria Kvi-Zalai (-Kocsis)
Germany,1952,Gold,Bobsleigh,"Friedrich ""Fritz"" Kuhn"
Hungary,1952,Silver,Shooting,Szilrd Kun
United States,1952,Gold,Basketball,"Robert Albert ""Bob"" Kurland"
Canada,1952,Silver,Canoeing,"Kenneth Ralph ""Ken"" Lane"
Hungary,1952,Gold,Football,Mihly Lantos (Liendermayer)
France,1952,Bronze,Fencing,Jean Laroyenne
Sweden,1952,Bronze,Swimming,Stig Axel Gran Larsson
Sweden,1952,Bronze,Ice Hockey,Erik ke Lassas
France,1952,Gold,Fencing,Jacques Vital Lucien Lataste
France,1952,Gold,Canoeing,Jean Maurice Laudet
United States,1952,Bronze,Swimming,"Jacqueline Carol ""Jackie"" LaVine"
United States,1952,Silver,Athletics,"Donald Robert ""Don"" Laz"
United States,1952,Bronze,Rowing,"Matthew Fillip ""Matt"" Leanderson"
United States,1952,Gold,Boxing,Norvel Lafollette Ray Lee
United States,1952,Gold,Diving,"Samuel ""Sammy"" Lee"
France,1952,Bronze,Fencing,Jacques dmond mile Lefvre
France,1952,Silver,Equestrianism,Guy Robert Marie Joseph Lefrant
Hungary,1952,Gold,Water Polo,Dezs Lemhnyi (Kollmann)
Great Britain,1952,Silver,Athletics,Sheila W. Lerwill (Alexander-)
France,1952,Bronze,Fencing,Jean Georges Levavasseur
United States,1952,Gold,Basketball,"William Barner ""Bill"" Lienhard"
Sweden,1952,Bronze,Shooting,Hans Gustaf Liljedahl
Sweden,1952,Gold,Gymnastics,Karin Elisabet Lindberg (-Lindn)
Sweden,1952,Bronze,Football,"Gustaf Lennart ""Gsta"" Lindh"
Sweden,1952,Silver,Modern Pentathlon,Thorsten Ivan Lindqvist
Hungary,1952,Gold,Swimming,Mria Littomeritzky (-Bognr)
Sweden,1952,Silver,Fencing,Bengt Helge Ljungquist
Great Britain,1952,Gold,Equestrianism,"Henry Morton ""Harry"" Llewellyn"
Sweden,1952,Bronze,Football,Karl Gsta Herbert Lfgren
United States,1952,Gold,Rowing,"Charles Paul ""Charlie"" Logg, Jr."
Hungary,1952,Gold,Football,Gyula Lrnt (Lipovics)
United States,1952,Gold,Basketball,Clyde Edward Lovellette
United States,1952,Bronze,Rowing,"Carl Martin Lovsted, Jr."
Germany,1952,Bronze,Athletics,Werner Lueg
Sweden,1952,Bronze,Athletics,Ragnar Torsten Lundberg
Sweden,1952,Bronze,Cross Country Skiing,Bo Hilding Martin Lundstrm
Sweden,1952,Silver,Fencing,Lennart Carl Oscar Magnusson
France,1952,Gold,Rowing,Bernard Robert Malivoire
Germany,1952,Silver,Rowing,Heinz Joachim Manchen
Italy,1952,Silver,Fencing,Dario Mangiarotti
Italy,1952,Gold,Fencing,Dario Mangiarotti
Italy,1952,Silver,Fencing,Edoardo Mangiarotti
Italy,1952,Silver,Fencing,Edoardo Mangiarotti
Italy,1952,Gold,Fencing,Edoardo Mangiarotti
Italy,1952,Gold,Fencing,Edoardo Mangiarotti
Italy,1952,Bronze,Water Polo,Maurizio Mannelli
United States,1952,Gold,Rowing,"Charles David ""Charley"" Manring"
Hungary,1952,Gold,Water Polo,Klmn Markovits de Spizza et Kisterpest
Hungary,1952,Gold,Water Polo,Mikls Martin
Italy,1952,Bronze,Cycling,Antonio Maspes
Hungary,1952,Bronze,Fencing,Lajos Maszlay
United States,1952,Gold,Athletics,"Robert Bruce ""Bob"" Mathias"
United States,1952,Bronze,Athletics,Ollie Genoa Matson
United States,1952,Silver,Athletics,Ollie Genoa Matson
United States,1952,Gold,Basketball,Frank Reilly McCabe
United States,1952,Bronze,Equestrianism,Arthur John McCashin
United States,1952,Gold,Diving,"Patricia Joan ""Pat"" McCormick (Keller-)"
United States,1952,Gold,Diving,"Patricia Joan ""Pat"" McCormick (Keller-)"
United States,1952,Silver,Speed Skating,"Donald Joseph ""Don"" McDermott"
United States,1952,Gold,Swimming,"James Price ""Jimmy"" McLane, Jr."
United States,1952,Silver,Athletics,"Robert Earl ""Bob"" McMillen"
United States,1952,Gold,Alpine Skiing,Andrea Bario Mead-Lawrence
United States,1952,Gold,Alpine Skiing,Andrea Bario Mead-Lawrence
France,1952,Gold,Rowing,Gaston Antoine Mercier
Italy,1952,Gold,Cycling,Guido Messina
Canada,1952,Gold,Ice Hockey,"Robert Roderick ""Bob"" Meyers"
Great Britain,1952,Bronze,Hockey,Roger Keith Midgley
Sweden,1952,Gold,Athletics,John Fredrik Mikaelsson
United States,1952,Silver,Athletics,"William Preston ""Bill"" Miller"
Canada,1952,Gold,Ice Hockey,David Engelbert Miller
France,1952,Silver,Athletics,Alain (Ali-) Mimoun Ould Kacha
France,1952,Silver,Athletics,Alain (Ali-) Mimoun Ould Kacha
Australia,1952,Gold,Cycling,Edward Russell Mockridge
Australia,1952,Gold,Cycling,Edward Russell Mockridge
Italy,1952,Silver,Cycling,Bruno Monti
United States,1952,Gold,Athletics,"Charles Hewes ""Charlie"" Moore, Jr."
United States,1952,Silver,Athletics,"Charles Hewes ""Charlie"" Moore, Jr."
United States,1952,Gold,Swimming,Wayne Richard Moore
United States,1952,Gold,Athletics,Janet Theresa Moreau (-Stone)
