team,year,medal,sport,name
United States,1900,Silver,Athletics,James Brendan Bennet Connolly
Italy,1900,Gold,Fencing,Antonio Conte
Great Britain,1900,Gold,Tennis,Charlotte Reinagle Cooper (-Sterry)
Great Britain,1900,Gold,Tennis,Charlotte Reinagle Cooper (-Sterry)
France,1900,Gold,Fencing,mile Louis Franois Dsir Coste
United States,1900,Silver,Athletics,John Francis Cregan
France,1900,Bronze,Cycling,Auguste Mose Daumain
France,1900,Gold,Shooting,mile Roger de Thomas de Barbarin
France,1900,Bronze,Equestrianism,Louis Marie Joseph Le Beschu de Champsavin
France,1900,Gold,Fencing,Louis Verrant Gabriel Le Bailly de la Falaise
France,1900,Bronze,Equestrianism,Robert de Montesquiou-Fzensac
France,1900,Bronze,Equestrianism,de Prunel
France,1900,Silver,Athletics,Henry Lon mile Deloge
France,1900,Bronze,Gymnastics,Georges Lucien Dmanet
France,1900,Gold,Swimming,Charles Devendeville
Great Britain,1900,Gold,Tennis,"Hugh Lawrence ""Laurie"" Doherty"
Great Britain,1900,Bronze,Tennis,"Reginald Frank ""Reggie"" Doherty"
Great Britain,1900,Gold,Tennis,"Reginald Frank ""Reggie"" Doherty"
Germany,1900,Silver,Cycling,Karl Duill
France,1900,Silver,Shooting,Louis Charles Marie Dutfoy
United States,1900,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
United States,1900,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
United States,1900,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
Sweden,1900,Bronze,Athletics,Ernst Robert Efraim Fast
France,1900,Bronze,Archery,mile Lon Fisseux
United States,1900,Gold,Athletics,John Joseph Flanagan
France,1900,Gold,Equestrianism,Dominique Maximien Gardres
United States,1900,Bronze,Athletics,"Robert ""Bob"" Garrett"
United States,1900,Bronze,Athletics,"Robert ""Bob"" Garrett"
France,1900,Silver,Rowing,Charles Andr Gaudin
Hungary,1900,Bronze,Athletics,Lajos Gnczy (Grn-)
France,1900,Gold,Archery,mile Grumiaux
United States,1900,Bronze,Athletics,"David Connolly ""Dave"" Hall"
United States,1900,Silver,Athletics,Thomas Truxtun Hare
France,1900,Silver,Archery,Henri Hyacinthe Helle
France,1900,Gold,Archery,"Henri Louis Hrouin, Sr."
France,1900,Gold,Archery,"Henri Louis Hrouin, Sr."
Great Britain,1900,Silver,Cycling,Lloyd Augustin Biden Hildebrand
United States,1900,Silver,Athletics,"William Joseph ""Bill"" Holland"
Germany,1900,Gold,Swimming,Ernst Heinrich Hoppenberg
United States,1900,Gold,Athletics,Frank Washington Jarvis
Great Britain,1900,Gold,Swimming,John Arthur Jarvis
Great Britain,1900,Gold,Swimming,John Arthur Jarvis
France,1900,Silver,Croquet,Georges douard Johin
France,1900,Gold,Croquet,Georges douard Johin
United States,1900,Bronze,Tennis,Marion Jones (-Farquhar)
Great Britain,1900,Bronze,Swimming,Peter Kemp
France,1900,Silver,Fencing,Simon Alphonse Kirchhoffer
United States,1900,Gold,Athletics,"Alvin Christian ""Al"" Kraenzlein"
United States,1900,Gold,Athletics,"Alvin Christian ""Al"" Kraenzlein"
