Year,Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
1936,1.0,103.0,2.0,0.0,813.0,1007.0,0.0,0.0,199.0,0.0,0.0,0.0,118.0,179.0,143.0,0.0,0.0,175.0,0.0,301.0,88.0,256.0,556.0,87.0,201.0,0.0,0.0,947.0,105.0,167.0,173.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,51.0,21.0,0.0,0.0,0.0,348.0,0.0,0.0,172.0,162.0,0.0,0.0,48.0,0.0,0.0,140.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,80.0,210.0
1948,0.0,360.0,0.0,0.0,471.0,1051.0,0.0,0.0,287.0,0.0,0.0,0.0,92.0,205.0,139.0,0.0,0.0,156.0,0.0,320.0,84.0,207.0,508.0,71.0,218.0,0.0,0.0,1060.0,0.0,187.0,139.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,39.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,186.0,216.0,0.0,15.0,49.0,0.0,0.0,154.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,120.0,229.0
1952,0.0,378.0,0.0,0.0,0.0,1344.0,0.0,0.0,294.0,0.0,0.0,0.0,96.0,249.0,184.0,0.0,0.0,188.0,0.0,389.0,97.0,263.0,509.0,65.0,294.0,0.0,0.0,2391.0,0.0,157.0,147.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,25.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,227.0,289.0,0.0,0.0,44.0,0.0,0.0,145.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,142.0,262.0
1956,0.0,403.0,0.0,0.0,0.0,1013.0,0.0,0.0,169.0,0.0,0.0,0.0,135.0,161.0,146.0,0.0,0.0,275.0,0.0,292.0,82.0,298.0,278.0,59.0,143.0,0.0,0.0,913.0,0.0,173.0,169.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,36.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,154.0,219.0,0.0,0.0,51.0,0.0,0.0,179.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,105.0,195.0
1960,0.0,320.0,0.0,0.0,0.0,1312.0,0.0,0.0,192.0,0.0,0.0,30.0,0.0,281.0,211.0,0.0,0.0,216.0,0.0,423.0,96.0,276.0,601.0,71.0,235.0,0.0,0.0,1746.0,0.0,236.0,152.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,33.0,0.0,0.0,0.0,0.0,431.0,0.0,0.0,290.0,389.0,0.0,0.0,45.0,0.0,0.0,249.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,172.0,337.0
1964,0.0,411.0,0.0,0.0,0.0,1335.0,0.0,0.0,189.0,0.0,0.0,51.0,117.0,269.0,167.0,0.0,0.0,332.0,0.0,451.0,102.0,224.0,481.0,88.0,214.0,0.0,0.0,1484.0,0.0,226.0,270.0,0.0,72.0,0.0,85.0,0.0,70.0,0.0,32.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,225.0,312.0,0.0,0.0,105.0,0.0,0.0,287.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,137.0,149.0,302.0
1968,0.0,422.0,0.0,0.0,0.0,1345.0,0.0,0.0,191.0,0.0,0.0,116.0,120.0,307.0,203.0,0.0,0.0,344.0,0.0,483.0,109.0,233.0,490.0,96.0,273.0,0.0,0.0,1496.0,0.0,253.0,250.0,0.0,0.0,0.0,106.0,0.0,93.0,0.0,41.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,252.0,410.0,0.0,0.0,116.0,0.0,0.0,280.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,162.0,160.0,333.0
1972,0.0,325.0,0.0,95.0,0.0,1686.0,0.0,0.0,190.0,0.0,0.0,106.0,114.0,354.0,359.0,0.0,0.0,335.0,0.0,526.0,124.0,326.0,499.0,68.0,269.0,0.0,0.0,1584.0,243.0,263.0,208.0,0.0,166.0,0.0,107.0,0.0,116.0,0.0,40.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,323.0,472.0,0.0,0.0,108.0,0.0,0.0,244.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,176.0,188.0,409.0
1976,0.0,390.0,0.0,64.0,0.0,1297.0,0.0,0.0,213.0,0.0,0.0,112.0,133.0,266.0,340.0,0.0,0.0,395.0,0.0,392.0,105.0,246.0,485.0,105.0,202.0,0.0,0.0,1204.0,243.0,172.0,217.0,0.0,154.0,0.0,119.0,0.0,89.0,0.0,34.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,257.0,369.0,0.0,0.0,109.0,0.0,0.0,247.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,131.0,173.0,349.0
1980,0.0,327.0,0.0,67.0,0.0,1268.0,0.0,0.0,215.0,0.0,0.0,159.0,108.0,271.0,253.0,0.0,0.0,309.0,0.0,307.0,88.0,122.0,321.0,85.0,256.0,0.0,0.0,866.0,248.0,187.0,239.0,0.0,193.0,0.0,94.0,0.0,79.0,0.0,31.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,156.0,267.0,0.0,0.0,98.0,0.0,0.0,296.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,132.0,172.0,270.0
